"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2022","283.11","292.17","292.84","282.04","1.81M","-2.78%"
"05/10/2022","291.20","286.87","291.78","281.27","1.99M","2.06%"
"05/09/2022","285.32","284.55","287.54","281.08","1.52M","0.30%"
"05/06/2022","284.46","288.50","290.34","281.66","1.64M","-1.43%"
"05/05/2022","288.60","291.01","293.23","287.44","1.67M","0.13%"
"04/29/2022","288.22","288.31","290.72","284.07","1.47M","0.64%"
"04/28/2022","286.38","293.62","297.76","285.52","2.03M","-2.47%"
"04/27/2022","293.62","290.92","293.62","287.44","1.49M","1.60%"
"04/26/2022","288.99","295.54","298.53","284.84","2.12M","-1.70%"
"04/25/2022","294.00","289.28","296.12","283.11","1.69M","1.16%"
"04/22/2022","290.63","300.08","301.91","288.79","1.52M","-3.55%"
"04/21/2022","301.33","301.04","305.38","300.46","1.80M","0.48%"
"04/20/2022","299.88","298.82","302.68","294.87","1.97M","0.42%"
"04/19/2022","298.63","301.91","302.39","296.41","1.89M","-0.77%"
"04/18/2022","300.94","297.38","303.26","296.89","3.36M","1.99%"
"04/15/2022","295.06","292.07","297.38","292.07","1.64M","1.22%"
"04/14/2022","291.49","293.13","295.16","291.11","1.28M","0.10%"
"04/13/2022","291.20","295.16","298.53","290.34","2.84M","-1.15%"
"04/12/2022","294.58","294.97","299.30","291.88","2.75M","-0.16%"
"04/11/2022","295.06","297.86","297.86","292.84","2.45M","-0.68%"
"04/08/2022","297.09","302.58","302.97","294.68","2.21M","-1.22%"
"04/07/2022","300.75","306.54","307.50","300.56","3.02M","-1.08%"
"04/06/2022","304.03","303.74","310.30","301.14","3.26M","0.45%"
"04/05/2022","302.68","302.29","311.36","298.63","2.88M","1.26%"
"04/04/2022","298.92","292.65","298.92","292.27","2.48M","2.92%"
"04/01/2022","290.43","289.18","291.49","286.77","1.24M","0.84%"
"03/31/2022","288.02","292.17","293.52","287.44","1.12M","-1.00%"
"03/30/2022","290.92","288.79","292.36","286.00","1.95M","1.55%"
"03/29/2022","286.48","282.53","289.18","282.14","2.22M","2.10%"
"03/28/2022","280.60","283.20","287.64","278.86","2.22M","-0.68%"
"03/25/2022","282.53","287.83","293.13","282.53","1.99M","-1.68%"
"03/24/2022","287.35","295.06","296.89","286.58","2.75M","-1.65%"
"03/23/2022","292.17","291.89","298.46","283.66","3.88M","1.31%"
"03/22/2022","288.38","277.84","288.38","275.06","3.50M","4.14%"
"03/21/2022","276.91","274.60","278.30","269.33","2.34M","1.66%"
"03/18/2022","272.38","280.33","284.40","272.38","3.28M","-2.84%"
"03/17/2022","280.33","267.21","287.55","264.43","6.08M","5.83%"
"03/16/2022","264.89","256.11","264.89","254.91","4.77M","4.87%"
"03/15/2022","252.60","251.86","261.66","244.74","8.14M","1.87%"
"03/14/2022","247.97","230.41","247.97","229.48","4.70M","9.96%"
"03/11/2022","225.51","220.24","227.17","220.14","2.30M","2.70%"
"03/10/2022","219.59","226.43","229.30","217.37","2.71M","-2.14%"
"03/09/2022","224.40","225.04","229.48","224.12","1.76M","0.79%"
"03/08/2022","222.64","224.67","227.36","222.64","1.43M","-2.15%"
"03/07/2022","227.54","231.05","231.61","222.18","1.49M","-1.52%"
"03/04/2022","231.05","239.75","239.75","231.05","1.14M","-4.00%"
"03/03/2022","240.67","240.39","243.63","237.16","1.42M","1.28%"
"03/02/2022","237.62","244.09","246.59","236.05","1.35M","-2.61%"
"03/01/2022","244.00","251.49","254.26","242.43","1.65M","-2.11%"
"02/28/2022","249.27","238.54","255.19","235.68","2.87M","3.69%"
"02/25/2022","240.39","226.99","241.87","225.69","1.89M","9.10%"
"02/24/2022","220.33","224.67","231.15","220.33","1.89M","-9.97%"
"02/23/2022","244.74","249.45","251.03","243.17","1.50M","-1.01%"
"02/22/2022","247.23","242.80","248.71","240.11","2.17M","-0.97%"
"02/21/2022","249.64","245.94","252.50","244.37","2.97M","1.93%"
"02/18/2022","244.92","244.92","247.05","239.01","1.30M","1.14%"
"02/17/2022","242.15","246.86","251.67","242.15","2.61M","-1.06%"
"02/16/2022","244.74","241.32","246.40","238.36","3.11M","4.34%"
"02/15/2022","234.57","224.67","239.75","224.67","2.44M","4.75%"
"02/14/2022","223.93","227.82","230.59","220.98","1.49M","-3.47%"
"02/11/2022","231.98","224.58","232.44","223.29","1.45M","2.45%"
"02/10/2022","226.43","231.98","233.09","224.03","1.23M","-1.65%"
"02/09/2022","230.22","228.28","233.46","226.80","1.59M","1.80%"
"02/08/2022","226.15","224.58","228.37","222.09","1.76M","0.70%"
"02/07/2022","224.58","218.02","224.58","210.81","1.59M","3.01%"
"02/04/2022","218.02","223.01","224.40","216.82","841.14K","-1.71%"
"02/03/2022","221.81","226.52","229.02","219.96","815.38K","-1.96%"
"02/02/2022","226.25","234.84","235.40","226.15","1.10M","-3.05%"
"02/01/2022","233.37","230.87","237.34","230.31","1.16M","1.77%"
"01/31/2022","229.30","232.44","234.20","229.30","777.48K","-0.24%"
"01/28/2022","229.85","232.16","234.66","227.91","1.20M","-0.64%"
"01/27/2022","231.33","220.14","231.33","217.28","1.37M","2.96%"
"01/26/2022","224.67","229.76","232.81","224.67","1.33M","-1.98%"
"01/25/2022","229.20","224.12","231.15","215.89","1.98M","3.59%"
"01/24/2022","221.25","236.60","236.60","220.70","1.79M","-7.10%"
